,University,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
104,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Science Museum,51.49735805798784,-0.17443418552973236,Science Museum
105,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Royal College of Music,51.49951115941499,-0.1769672989907509,University
106,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Volcanoes & Earthquakes,51.496918722227356,-0.174722998863351,Exhibit
107,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Princes' Gardens,51.4990022543928,-0.17264916568590497,College Quad
108,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Science Museum Shop,51.49739262176734,-0.1742492464365554,Gift Shop
109,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Natural History Museum,51.49652085547838,-0.17653226852416992,Science Museum
110,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Science Museum Gallery of Flight,51.49718901346113,-0.17783717222353052,Science Museum
111,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Royal Albert Hall,51.50112169476231,-0.17741730766218888,Concert Hall
112,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Museum of the History of Medicine,51.497433289560455,-0.17431623182839284,Science Museum
113,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Ognisko,51.499271,-0.174015,Polish Restaurant
114,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Science Museum (IMAX),51.49716450794273,-0.17789270697050005,Movie Theater
115,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Dinosaur Gallery,51.496355567978036,-0.17637668852538135,Exhibit
116,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Victoria and Albert Museum (V&A),51.49670513586815,-0.17244046205374425,Art Museum
117,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Wildlife Photographer of the Year,51.496498552227145,-0.17545533033489794,Art Gallery
118,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Science Museum Launch Pad,51.497559070416386,-0.17425646847660334,Science Museum
119,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,The John Madejski Garden,51.49720555262307,-0.17229570662114702,Garden
120,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Christian Dior: Designer of Dreams,51.49694960551706,-0.17310523847134784,Exhibit
121,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,V&A Shop,51.496501809163654,-0.17224124210776168,Gift Shop
122,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,V&A Café,51.49721619176674,-0.17241089005428986,Café
123,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Human Biology,51.49638451464046,-0.17709333995284154,Exhibit
124,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Sensational Butterflies,51.496014,-0.17446093,Exhibit
125,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Markova House: English National Ballet,51.50090945364085,-0.17908707166775573,Dance Studio
126,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Exploring Space,51.49728921970728,-0.17541785323710746,Science Museum
